SID,entry,evaluation,replacement
CAJ-663,pizza,FOUND,pizza
CAJ-663,popcorn,FOUND,popcorn
CAJ-663,hotdogs,REPLACE,hotdog
CAJ-663,cheese,FOUND,cheese
CAJ-663,coffee,FOUND,coffee
CAJ-663,tea,FOUND,tea
CAJ-663,soda,FOUND,soda
CAJ-663,water,FOUND,water
CAJ-663,asparagus,FOUND,asparagus
CAJ-663,broccoli,FOUND,broccoli
CAJ-663,cauliflower,FOUND,cauliflower
CAJ-663,carrots,FOUND,carrots
CAJ-663,salad,FOUND,salad
CAJ-663,meatloaf,FOUND,meatloaf
CAJ-663,chicken,FOUND,chicken
CAJ-663,hamburgers,REPLACE,hamburger
CAJ-663,grilledcheesesandwich,EXCLUDE,EXCLUDE
CAJ-663,lemonade,FOUND,lemonade
CAJ-663,bananas,REPLACE,banana
CAJ-663,apples,REPLACE,apple
CAJ-663,peaches,REPLACE,peach
CAJ-663,corn,FOUND,corn
CAJ-663,rice,FOUND,rice
CAJ-663,pork,FOUND,pork
CAM-666,strawberries,FOUND,strawberries
CAM-666,blueberries,FOUND,blueberries
CAM-666,raspberries,FOUND,raspberries
CAM-666,apricots,FOUND,apricots
CAM-666,bread,FOUND,bread
CAM-666,jam,FOUND,jam
CAM-666,butter,FOUND,butter
CAM-666,peanutbutter,REPLACE,peanut butter
CAM-666,toast,FOUND,toast
CAM-666,popcorn,FOUND,popcorn
CAM-666,pizza,FOUND,pizza
CAM-666,burger,FOUND,burger
CAM-666,cheese,FOUND,cheese
CAM-666,soda,FOUND,soda
CAM-666,water,FOUND,water
CAM-666,milk,FOUND,milk
CAM-666,orangejuice,REPLACE,orange juice
CAM-666,lemonjuice,EXCLUDE,EXCLUDE
CAM-666,grapejuice,EXCLUDE,EXCLUDE
CAM-666,raspberryjuice,EXCLUDE,EXCLUDE
CAM-666,strawberryjuice,EXCLUDE,EXCLUDE
CAM-666,cucumbers,REPLACE,cucumber
CAM-666,pickles,REPLACE,pickle
CAM-666,cranberryjucie,EXCLUDE,EXCLUDE
CAM-666,icecream,REPLACE,ice cream
CAM-666,chocolate,FOUND,chocolate
CAM-666,vanilla,EXCLUDE,EXCLUDE
CAM-666,cinnamon,FOUND,cinnamon
CAM-666,sugar,FOUND,sugar
CAM-666,oregano,FOUND,oregano
CAM-666,rosemary,FOUND,rosemary
CAP-671,grapes,FOUND,grapes
CAP-671,water,FOUND,water
CAP-671,hamburger,FOUND,hamburger
CAP-671,chips,FOUND,chips
CAP-671,cookies,REPLACE,cookie
CAP-671,carrot,FOUND,carrot
CAP-671,soda,FOUND,soda
CAP-671,apple,FOUND,apple
CAP-671,watermelon,FOUND,watermelon
CAP-671,pear,FOUND,pear
CAP-671,orange,FOUND,orange
CAP-671,grapefruit,FOUND,grapefruit
CAP-671,brocolli,REPLACE,broccoli
CAP-671,pepper,FOUND,pepper
CAP-671,tomato,FOUND,tomato
CAP-671,juice,FOUND,juice
CAP-671,icecream,REPLACE,ice cream
CAP-671,pizza,FOUND,pizza
CAP-671,corn,FOUND,corn
CAP-671,potatoes,FOUND,potatoes
CAS-674,pizza,FOUND,pizza
CAS-674,gatorade,EXCLUDE,EXCLUDE
CAS-674,burgers,REPLACE,burger
CAS-674,water,FOUND,water
CAS-674,hotdogs,REPLACE,hotdog
CAS-674,proteinbar,EXCLUDE,EXCLUDE
CAS-674,chocolatemilk,EXCLUDE,EXCLUDE
CAS-674,whitemilk,EXCLUDE,EXCLUDE
CAS-674,skimmilk,EXCLUDE,EXCLUDE
CAS-674,fettuccini,REPLACE,fettuccine
CAS-674,spaghetti,FOUND,spaghetti
CAS-674,steak,FOUND,steak
CAS-674,chewybar,EXCLUDE,EXCLUDE
CAS-674,apple,FOUND,apple
CAS-674,orange,FOUND,orange
CAS-674,pear,FOUND,pear
CAS-674,strawberries,FOUND,strawberries
CAS-674,grapes,FOUND,grapes
CAS-674,salad,FOUND,salad
CAS-674,tomato,FOUND,tomato
CAS-674,soda,FOUND,soda
CAS-674,cereal,FOUND,cereal
CAS-674,bagels,REPLACE,bagel
CAS-674,rolls,REPLACE,roll
CAS-674,waffles,FOUND,waffles
CAS-674,pancakes,FOUND,pancakes
CAS-674,bacon,FOUND,bacon
CAS-674,eggs,FOUND,eggs
CAS-674,sausage,FOUND,sausage
CAS-674,icecream,REPLACE,ice cream
CAS-674,lobster,FOUND,lobster
CAS-674,crab,FOUND,crab
CAV-678,apple,FOUND,apple
CAV-678,orange,FOUND,orange
CAV-678,water,FOUND,water
CAV-678,beer,FOUND,beer
CAV-678,spaghetti,FOUND,spaghetti
CAV-678,lasagna,FOUND,lasagna
CAV-678,chicken,FOUND,chicken
CAV-678,watermelon,FOUND,watermelon
CAV-678,orange,FOUND,orange
CAV-678,grapes,FOUND,grapes
CAV-678,steak,FOUND,steak
CAV-678,porkchops,REPLACE,pork chops
CAV-678,ribs,FOUND,ribs
CAV-678,broccoli,FOUND,broccoli
CAV-678,sauercraut,REPLACE,sauerkraut
CAV-678,hotdogs,REPLACE,hotdog
CAV-678,lunchmeats,EXCLUDE,EXCLUDE
CAV-678,roastbeef,REPLACE,roast beef
CAV-678,porktenderloin,EXCLUDE,EXCLUDE
