"SID","Semantic_Similarity_mean","Semantic_Similarity_std","Frequency_Value_mean","Frequency_Value_std","Phonological_Similarity_mean","Phonological_Similarity_std","#_of_Items","Switch_Method","Number_of_Switches","Cluster_Size_mean","Cluster_Size_std"
"528353180",0.687296703904731,0.158647553828641,4.07916666666667,0.575219554806583,0.131434782608696,0.130111384480919,24,"delta_rise=0.0_fall=0.0",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.2",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.5",12,1.84615384615385,1.60988073357357
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=0.8",7,3,3.53553390593274
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.0_fall=1.0",6,3.42857142857143,4.43547848464572
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.0",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.2",15,1.5,0.707106781186548
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.5",12,1.84615384615385,1.60988073357357
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=0.8",7,3,3.53553390593274
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.2_fall=1.0",6,3.42857142857143,4.43547848464572
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=0.8",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.5_fall=1.0",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=0.8",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=0.8_fall=1.0",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.0",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.2",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.5",18,1.26315789473684,0.546963412916488
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=0.8",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"delta_rise=1.0_fall=1.0",8,2.66666666666667,3.43187671366233
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.0",4,4.8,3.05941170815567
"528353180",NA,NA,NA,NA,NA,NA,NA,"multimodal_alpha=0.1",7,3,0.866025403784439
