Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items
CAF-657,0.39570210351704915,0.10790290651940339,6.204437075896552,0.7509666325991879,0.04718928571428571,0.08880802991424074,29
CAJ-663,0.43866681609762215,0.12068661730322695,6.2116895477,0.6527215367054297,0.07137368421052633,0.1010372199962044,20
CAM-666,0.4109852462882655,0.1338668163768101,6.24802347404,0.8103501418586209,0.062575,0.11908214647333012,25
CAN-667,0.4288147694022404,0.10825486161917494,6.4747991439999995,0.6658900427199443,0.10565882352941176,0.11990868952469379,18
CAP-671,0.42164275764808806,0.08110370857858314,6.400540106421053,0.6379890409259468,0.08558333333333333,0.12997749692112998,19
CAQ-672,0.42095249258466305,0.12951278677057254,6.282200116545455,0.6806400309631595,0.05013333333333333,0.08406633293616018,22
CAR-673,0.44844974716082336,0.13564806715305858,6.062672912045454,0.91051094922444,0.06533809523809524,0.10302427614980109,22
CAS-674,0.4531874322858777,0.1525362145644624,6.189105191380953,0.6781397955011375,0.069295,0.10492510348865643,21
CAU-667,0.44613996603665645,0.1698013291903646,5.7859555635789475,0.9602532165706642,0.13668648648648646,0.25905373548333144,38
CAV-678,0.4391706848978828,0.10925451123804732,6.034763460285714,0.7856048223267682,0.06458148148148148,0.12725845003540281,28
CAY-681,0.48078820390010185,0.21569574106154074,6.126517431521739,0.8167082812621448,0.15012272727272727,0.2991117101906246,23
CBD-686,0.4802439174048766,0.1599917344035101,6.27011491445,0.6252474625240261,0.05771578947368421,0.09436712741650084,20
CBF-691,0.42310659603555395,0.10026726999085686,6.177411159368421,0.7228490801792612,0.07480555555555556,0.08884593719217303,19
CBH-693,0.4636711058678643,0.1499662598003381,6.19601535575,0.7821676310148881,0.12843043478260868,0.225672978272831,24
CBJ-697,0.4277589686643291,0.0801482507442578,5.826351867695652,0.7821147731812111,0.13015454545454544,0.17978584807718093,23
CBL-698,0.4286086964358642,0.13032346341751253,5.4280799137999995,1.2654620545376962,0.14511578947368423,0.22858689634641474,20
CBM-702,0.4137822132651474,0.12363391953938177,5.921688713076923,0.7995139072024202,0.117364,0.18995384062099577,26
CBP-707,0.4630055249512455,0.10936490703964538,6.311591571785714,0.7669282089267153,0.06801851851851852,0.11812579030923916,28
CBS-711,0.4212857089368747,0.13656476253858255,6.053867835999999,0.8266808665935327,0.06819130434782608,0.11737319235917959,24
CBW-715,0.47244137025335986,0.14963023638618073,6.345069319166667,0.6155532110566789,0.060858823529411764,0.11541351772443907,18
CCB-720,0.4029876896015583,0.11202592383723337,6.131025735846153,0.7592786986597109,0.091725,0.11981658046591655,13
CCC-721,0.43105046440849915,0.11959346792543689,6.458806783066667,0.735330472383128,0.059,0.10072472005803357,15
CCD-722,0.4214575764391187,0.11287171755284524,6.1302326439999995,0.7252064636451153,0.05628214285714286,0.08920394051075044,29
CCF-724,0.45948629167580834,0.10863054292249014,6.560672676352942,0.6192986664688706,0.09962499999999999,0.18613544351716932,17
CCH-726,0.43676655558308347,0.1366891557614938,6.080797962782609,0.7762614704274011,0.042254545454545454,0.1031301661437194,23
CCL-730,0.4508666725913072,0.16407682919743358,6.409215168208333,0.6218726131755894,0.08600869565217391,0.24518601271287793,24
CCX-744,0.4167131042047378,0.07662909912478884,6.292619211,0.8171400752954094,0.10426470588235294,0.142123858575788,18
CDG-753,0.4837344941991724,0.16857380255086155,5.897369521333334,0.6530632585030396,0.1009,0.21608711627068797,24
CDH-754,0.41533381867068614,0.18645479129311496,5.57379054976923,1.2482677456975133,0.13594166666666666,0.15125328821870188,13
CDM-759,0.40586437578648876,0.1241087135719582,6.13597715568421,0.8092625196675374,0.09618888888888888,0.1711205728646218,19
CDR-764,0.4486776641538075,0.11486961688064763,6.030839118722223,0.7751002674527396,0.04664117647058824,0.07912893796538288,18
CDU-767,0.4357678082178562,0.11549238741813311,6.426756722105263,0.6264496141091203,0.036194444444444446,0.08363768832587815,19
SFZ-149,0.40736467079529176,0.11178726737429885,6.274464719684211,0.6644097368597432,0.07427777777777778,0.11981150664348983,19
SGO-159,0.4395841730735789,0.14283683329843536,6.223831323861111,0.6470344104811384,0.06350571428571429,0.10046694786568057,36
SIU-211,0.4313577297606567,0.15569547871087025,6.243519550708334,0.7822532810101457,0.14467391304347826,0.2315514790934312,24
SIZ-390,0.46530405469528263,0.09548885805935561,6.129861695882353,0.7417834837823132,0.0729875,0.11731211290115497,17
SKE-234,0.44097684417815347,0.09848451964539973,6.2102674681785714,0.7047911265324156,0.06867777777777778,0.09398186131594892,28
SMK-401,0.46657824099663925,0.1486979972087426,6.293568212791667,0.6115344945018898,0.14344347826086956,0.25689152791523606,24
SNI-300,0.43049171957420096,0.09422532354213509,5.977568231166667,0.7880018434172463,0.10817647058823529,0.09832484763153566,18
SNR-308,0.40766333559822254,0.1097962312425116,6.298856504,0.7161808424474023,0.11084666666666668,0.11716769951451557,16
SNT-310,0.44419981534861996,0.10645564166117723,6.258995999925926,0.7031284519708573,0.09698846153846154,0.11151378866103716,27
SNV-312,0.4321352223659816,0.08887731046871288,6.471563332666666,0.6225762401653224,0.060158823529411765,0.10106959272466379,18
SNY-315,0.4496110124200417,0.09072201639760957,6.414427431,0.6508392232828683,0.07726315789473684,0.12458078686595436,20
SOA-317,0.4236951322550337,0.08829931637492784,6.1051507932857145,0.4977483906662405,0.07506666666666667,0.11720922603049075,7
SOE-320,0.409124768909287,0.11049346238582583,6.491085106153847,0.7158762687218,0.04531666666666667,0.08299906717256016,13
SOQ-329,0.43270269775848164,0.09030235583403219,6.266659298260869,0.7446197996718715,0.13814545454545454,0.1544473210462227,23
SOX-335,0.4068570899838962,0.08060582809044418,5.8249202290909095,0.9359358780686666,0.19741999999999998,0.17520946701971712,11
SPA-338,0.4181191694060246,0.13211165825174595,5.908670648411764,0.8833097735452181,0.07373125,0.12012272457088764,17
